자라, 42, 142
하타, 59, 162
하나, 41, 145
하사, 85, 161
타카, 74, 161
라나, 50, 149
라라, 48, 192
나자, 85, 195
파자, 83, 170
카파, 97, 164
아다, 83, 193
바라, 60, 148
아다, 43, 140
가라, 53, 170
타차, 44, 176
자가, 64, 172
바자, 54, 171
하카, 90, 160
나라, 55, 195
아사, 57, 163
라차, 99, 156
자바, 98, 197
바마, 57, 179
차가, 84, 189
바마, 74, 160
다자, 72, 163
아마, 97, 150
가마, 87, 160
파카, 58, 175
자사, 42, 158
나파, 64, 171
카파, 75, 186
다하, 94, 142
라라, 66, 160
라차, 84, 162
아아, 73, 175
라사, 70, 176
파가, 96, 194
라타, 45, 145
마아, 96, 192
타바, 41, 156
사타, 55, 171
타타, 82, 142
카나, 90, 192
마카, 59, 192
타가, 70, 152
파마, 62, 177
카자, 96, 197
하다, 97, 150
파카, 43, 163
아아, 78, 155
아가, 84, 196
사카, 67, 161
아다, 71, 198
파하, 56, 141
타가, 93, 183
가다, 63, 144
라가, 71, 187
파아, 40, 187
마파, 45, 147
자라, 69, 169
바파, 53, 170
마파, 62, 167
바마, 88, 150
마차, 59, 168
자사, 55, 190
하하, 99, 176
나차, 81, 174
아사, 90, 153
자바, 83, 184
아마, 62, 140
파다, 80, 187
타타, 45, 181
마바, 67, 168
파마, 54, 194
바차, 87, 188
파파, 73, 174
바사, 52, 190
나라, 70, 198
나파, 88, 175
하바, 76, 146
차아, 87, 148
마마, 70, 173
타파, 75, 163
라타, 53, 144
마나, 51, 169
차아, 86, 156
파가, 56, 171
라사, 45, 157
가자, 53, 140
타라, 44, 191
라카, 45, 187
파바, 84, 163
자카, 73, 177
사바, 68, 197
다차, 82, 162
차가, 49, 161
나타, 88, 183
차하, 53, 187
카자, 74, 143
하바, 75, 141
다바, 85, 144
나하, 68, 170
사카, 91, 173
다라, 84, 148
나마, 49, 182
바아, 73, 161
하마, 41, 186
다자, 51, 193
라나, 41, 199
다아, 58, 148
차파, 53, 185
차자, 58, 166
라나, 62, 177
하마, 65, 184
마카, 70, 140
아나, 80, 186
가라, 43, 165
하사, 73, 142
가타, 73, 195
카라, 59, 173
타마, 40, 143
카아, 49, 168
차라, 56, 152
바다, 88, 161
가차, 73, 142
아차, 62, 150
가나, 63, 166
하다, 89, 177
다자, 65, 194
나타, 76, 146
마하, 52, 179
가타, 84, 156
다자, 83, 184
파나, 64, 175
나가, 76, 164
나하, 73, 174
라아, 69, 194
차사, 79, 144
아하, 97, 159
하자, 86, 181
라사, 52, 154
사사, 42, 168
나차, 77, 164
파파, 95, 179
마자, 62, 171
카카, 97, 148
라사, 45, 163
하가, 59, 187
타나, 57, 160
아아, 97, 172
카가, 73, 151
자나, 79, 193
다타, 60, 188
차마, 94, 180
사가, 41, 141
다사, 93, 161
나타, 58, 164
아하, 95, 156
하가, 59, 146
타바, 64, 152
마마, 98, 152
나파, 93, 186
카다, 48, 172
바타, 70, 160
마파, 97, 192
마하, 96, 177
라자, 63, 146
나차, 68, 199
자파, 64, 184
차나, 85, 141
바파, 53, 172
자나, 49, 155
사자, 65, 141
사차, 94, 188
아차, 50, 166
